Source IP,Destination IP,Protocol,Source Port,Destination Port,Length
192.168.0.116,216.239.36.223,TCP,57196,443,158
192.168.0.116,216.239.36.223,TCP,57196,443,582
216.239.36.223,192.168.0.116,TCP,443,57196,1090
192.168.0.116,216.239.36.223,TCP,57196,443,97
216.239.36.223,192.168.0.116,TCP,443,57196,97
216.239.36.223,192.168.0.116,TCP,443,57196,66
192.168.0.116,216.239.36.223,TCP,57196,443,66
216.239.36.223,192.168.0.116,TCP,443,57196,359
216.239.36.223,192.168.0.116,TCP,443,57196,133
216.239.36.223,192.168.0.116,TCP,443,57196,105
192.168.0.116,216.239.36.223,TCP,57196,443,66
192.168.0.116,216.239.36.223,TCP,57196,443,66
192.168.0.116,216.239.36.223,TCP,57196,443,66
192.168.0.116,216.239.36.223,TCP,57196,443,105
216.239.36.223,192.168.0.116,TCP,443,57196,66
192.168.0.116,172.253.144.132,TCP,50230,443,74
172.253.144.132,192.168.0.116,TCP,443,50230,74
192.168.0.116,172.253.144.132,TCP,50230,443,66
192.168.0.116,172.253.144.132,TCP,50230,443,1891
172.253.144.132,192.168.0.116,TCP,443,50230,66
172.253.144.132,192.168.0.116,TCP,443,50230,66
172.253.144.132,192.168.0.116,TCP,443,50230,2866
172.253.144.132,192.168.0.116,TCP,443,50230,1466
172.253.144.132,192.168.0.116,TCP,443,50230,1466
192.168.0.116,172.253.144.132,TCP,50230,443,66
192.168.0.116,172.253.144.132,TCP,50230,443,66
192.168.0.116,172.253.144.132,TCP,50230,443,78
172.253.144.132,192.168.0.116,TCP,443,50230,1466
172.253.144.132,192.168.0.116,TCP,443,50230,2415
192.168.0.116,172.253.144.132,TCP,50230,443,78
192.168.0.116,172.253.144.132,TCP,50230,443,78
172.253.144.132,192.168.0.116,TCP,443,50230,1466
192.168.0.116,172.253.144.132,TCP,50230,443,66
192.168.0.116,172.253.144.132,TCP,50230,443,140
192.168.0.116,172.253.144.132,TCP,50230,443,158
192.168.0.116,172.253.144.132,TCP,50230,443,1098
172.253.144.132,192.168.0.116,TCP,443,50230,1022
172.253.144.132,192.168.0.116,TCP,443,50230,97
192.168.0.116,172.253.144.132,TCP,50230,443,66
192.168.0.116,172.253.144.132,TCP,50230,443,97
172.253.144.132,192.168.0.116,TCP,443,50230,399
172.253.144.132,192.168.0.116,TCP,443,50230,1466
192.168.0.116,172.253.144.132,TCP,50230,443,66
172.253.144.132,192.168.0.116,TCP,443,50230,1466
172.253.144.132,192.168.0.116,TCP,443,50230,1362
192.168.0.116,172.253.144.132,TCP,50230,443,66
192.168.0.116,172.253.144.132,TCP,50230,443,105
172.253.144.132,192.168.0.116,TCP,443,50230,66
172.253.144.132,192.168.0.116,TCP,443,50230,66
192.168.0.116,172.253.144.132,TCP,50230,443,254
172.253.144.132,192.168.0.116,TCP,443,50230,66
